Canonical Form,Term,Type
expel,expel,Subaction
cover,cover,Subaction
lose,lose,Subaction
regain,regain,Subaction
wobble,wobble,Subaction
lose balance,lose balance,Subaction
descend,descend,Subaction
impact,impact,Subaction
take,take,Subaction
avoid,avoid,Subaction
feel,feel,Subaction
assess,assess,Subaction
stretch,stretch,Subaction
stretch,retch,Subaction
relax,relax,Subaction
direct,direct,Subaction
retract,retract,Subaction
follow-through,follow-through,Subaction
apply force,apply force,Subaction
maintain pressure,maintain pressure,Subaction
touch,touch,Subaction
embrace,embrace,Subaction
squeeze,squeeze,Subaction
hand over,hand over,Subaction
receive,receive,Subaction
tilt,tilt,Subaction
navigate,navigate,Subaction
separate,separate,Subaction
pull,pull,Subaction
throw,throw,Subaction
score,score,Subaction
hit,hit,Subaction
toss,toss,Subaction
catch,catch,Subaction
catch,match,Subaction
repeat,repeat,Subaction
quiet,quiet,Subaction
flick,flick,Subaction
flick,click,Subaction
curve,curve,Subaction
insert,insert,Subaction
organize,organize,Subaction
count,count,Subaction
clip,clip,Subaction
file,file,Subaction
cut,cut,Subaction
twist,twist,Subaction
perceive,perceive,Subaction
flip,flip,Subaction
crease,crease,Subaction
crumple,crumple,Subaction
rotate,rotate,Subaction
cleanse,cleanse,Subaction
massage,massage,Subaction
spread,spread,Subaction
carry,carry,Subaction
up,up,Subaction
surrender,surrender,Subaction
negotiate,negotiate,Subaction
agree,agree,Subaction
start,start,Subaction
maintain,maintain,Subaction
kick,kick,Subaction
exhale,exhale,Subaction
pinch,pinch,Subaction
connect,connect,Subaction
cheers,cheers,Subaction
drink,drink,Subaction
transport,transport,Subaction
review,review,Subaction
walk,walk,Subaction
observe,observe,Subaction
speak,speak,Subaction
give,give,Subaction
assist,assist,Subaction
encourage,encourage,Subaction
provide,provide,Subaction
choose,choose,Subaction
reveal,reveal,Subaction
compare,compare,Subaction
